deviation_id,product_id,batch_id,plant_id,deviation_type,severity,root_cause_code,capa_status,reported_date,closed_date
DEV000116,PROD00863,BATCH000436,PLANT04,Documentation Error,Minor,RC015,Closed,2024-01-30,2024-02-14
DEV000117,PROD00996,BATCH001211,PLANT02,Out-of-Specification (OOS),Minor,RC017,Open,2024-02-08,
DEV000118,PROD00918,BATCH001336,PLANT01,Equipment Malfunction,Minor,RC020,Closed,2024-02-02,2024-03-07
DEV000119,PROD00570,BATCH001375,PLANT03,Process Deviation,Minor,RC022,Closed,2023-10-31,2023-12-11
DEV000120,PROD00923,BATCH000852,PLANT01,Documentation Error,Major,RC020,Closed,2024-06-09,2024-07-23
DEV000121,PROD00357,BATCH000994,PLANT03,Contamination,Major,RC004,Closed,2023-02-26,2023-03-13
DEV000122,PROD00806,BATCH000096,PLANT05,Temperature Excursion,Minor,RC022,Closed,2023-12-09,2023-12-29
DEV000123,PROD00699,BATCH001355,PLANT04,Process Deviation,Critical,RC015,Closed,2025-08-15,2025-09-01
DEV000124,PROD00186,BATCH000621,PLANT01,Contamination,Major,RC024,Closed,2023-05-15,2023-05-28
DEV000125,PROD00506,BATCH000569,PLANT02,Contamination,Major,RC012,Open,2024-02-03,
DEV000126,PROD00979,BATCH000913,PLANT02,Temperature Excursion,Minor,RC010,Closed,2025-07-27,2025-09-04
DEV000127,PROD00832,BATCH001497,PLANT03,Process Deviation,Major,RC016,Under Review,2023-04-09,
DEV000128,PROD00408,BATCH000986,PLANT01,Labeling Error,Minor,RC007,Closed,2024-05-23,2024-06-16
DEV000129,PROD00088,BATCH000228,PLANT01,Contamination,Major,RC025,Under Review,2025-04-15,
DEV000130,PROD00290,BATCH000557,PLANT01,Labeling Error,Minor,RC010,Open,2025-05-08,
DEV000131,PROD00402,BATCH000070,PLANT02,Equipment Malfunction,Major,RC014,Closed,2025-01-13,2025-02-09
DEV000132,PROD00145,BATCH001396,PLANT03,Contamination,Minor,RC002,Under Review,2023-07-01,
DEV000133,PROD00129,BATCH000923,PLANT01,Equipment Malfunction,Major,RC002,Open,2023-11-20,
DEV000134,PROD00840,BATCH000959,PLANT05,Temperature Excursion,Major,RC025,Closed,2025-03-20,2025-04-19
DEV000135,PROD00394,BATCH000114,PLANT04,Labeling Error,Critical,RC015,Closed,2024-02-17,2024-03-24
DEV000136,PROD00394,BATCH000277,PLANT04,Equipment Malfunction,Major,RC011,Closed,2024-08-06,2024-08-31
DEV000137,PROD00787,BATCH001414,PLANT01,Equipment Malfunction,Major,RC014,Closed,2023-10-24,2023-12-07
DEV000138,PROD00559,BATCH001464,PLANT04,Labeling Error,Minor,RC007,Open,2023-09-14,
DEV000139,PROD00097,BATCH000176,PLANT04,Process Deviation,Minor,RC024,Closed,2023-01-14,2023-02-10
DEV000140,PROD00412,BATCH000738,PLANT04,Out-of-Specification (OOS),Major,RC023,Closed,2025-07-12,2025-08-20
DEV000141,PROD00935,BATCH000755,PLANT04,Out-of-Specification (OOS),Minor,RC013,Closed,2023-07-11,2023-08-07
DEV000142,PROD00080,BATCH000578,PLANT03,Temperature Excursion,Minor,RC003,Closed,2024-04-26,2024-05-29
DEV000143,PROD00447,BATCH000525,PLANT04,Out-of-Specification (OOS),Major,RC018,Closed,2023-07-07,2023-07-26
DEV000144,PROD00449,BATCH001266,PLANT01,Labeling Error,Minor,RC011,Open,2024-10-04,
DEV000145,PROD00074,BATCH001359,PLANT03,Temperature Excursion,Major,RC010,Closed,2024-07-28,2024-08-06
DEV000146,PROD00779,BATCH000074,PLANT04,Out-of-Specification (OOS),Major,RC004,Closed,2023-02-17,2023-03-09
DEV000147,PROD00881,BATCH001311,PLANT02,Labeling Error,Minor,RC022,Closed,2024-03-20,2024-04-16
DEV000148,PROD00214,BATCH001272,PLANT01,Out-of-Specification (OOS),Major,RC013,Under Review,2023-02-17,
DEV000149,PROD00399,BATCH001276,PLANT05,Documentation Error,Major,RC001,Closed,2025-01-18,2025-03-04
DEV000150,PROD00295,BATCH001433,PLANT02,Labeling Error,Major,RC025,Under Review,2024-01-21,
DEV000151,PROD00080,BATCH000657,PLANT03,Equipment Malfunction,Major,RC015,Closed,2025-03-04,2025-04-18
DEV000152,PROD00866,BATCH000939,PLANT01,Process Deviation,Minor,RC021,Closed,2024-04-27,2024-05-26
DEV000153,PROD00472,BATCH000664,PLANT04,Labeling Error,Minor,RC018,Open,2024-12-23,
DEV000154,PROD00755,BATCH000271,PLANT04,Equipment Malfunction,Major,RC007,Closed,2023-05-22,2023-07-05
DEV000155,PROD00021,BATCH000759,PLANT01,Contamination,Minor,RC001,Closed,2025-07-10,2025-08-09
DEV000156,PROD00104,BATCH000798,PLANT05,Temperature Excursion,Minor,RC024,Closed,2023-05-08,2023-05-17
DEV000157,PROD00113,BATCH001291,PLANT04,Process Deviation,Minor,RC013,Closed,2024-02-05,2024-02-12
DEV000158,PROD00440,BATCH000444,PLANT04,Equipment Malfunction,Major,RC002,Closed,2023-10-10,2023-10-13
DEV000159,PROD00404,BATCH001005,PLANT04,Out-of-Specification (OOS),Minor,RC006,Closed,2024-09-03,2024-09-06
DEV000160,PROD00420,BATCH000530,PLANT01,Contamination,Minor,RC010,Closed,2023-03-03,2023-03-27
DEV000161,PROD00722,BATCH000548,PLANT05,Out-of-Specification (OOS),Major,RC013,Closed,2024-02-17,2024-04-01
DEV000162,PROD00856,BATCH001126,PLANT05,Labeling Error,Minor,RC021,Closed,2024-09-09,2024-09-24
DEV000163,PROD00337,BATCH000552,PLANT03,Equipment Malfunction,Major,RC011,Closed,2024-12-31,2025-01-22
DEV000164,PROD00447,BATCH000732,PLANT04,Process Deviation,Minor,RC025,Closed,2024-04-20,2024-05-13
DEV000165,PROD00644,BATCH000690,PLANT01,Process Deviation,Major,RC014,Closed,2025-05-11,2025-05-17
DEV000166,PROD00523,BATCH001383,PLANT04,Labeling Error,Minor,RC001,Open,2024-11-06,
DEV000167,PROD00427,BATCH000970,PLANT04,Out-of-Specification (OOS),Minor,RC015,Closed,2023-09-20,2023-10-17
DEV000168,PROD00315,BATCH000800,PLANT03,Temperature Excursion,Minor,RC010,Closed,2024-05-02,2024-05-05
DEV000169,PROD00785,BATCH000840,PLANT03,Contamination,Major,RC003,Closed,2024-01-25,2024-01-28
DEV000170,PROD00850,BATCH001404,PLANT04,Contamination,Minor,RC007,Under Review,2023-02-08,
DEV000171,PROD00984,BATCH000496,PLANT05,Out-of-Specification (OOS),Major,RC004,Under Review,2024-06-10,
DEV000172,PROD00912,BATCH000693,PLANT01,Contamination,Minor,RC002,Under Review,2023-07-21,
DEV000173,PROD00522,BATCH001371,PLANT04,Process Deviation,Minor,RC014,Closed,2024-03-14,2024-04-11
DEV000174,PROD00138,BATCH000377,PLANT01,Process Deviation,Minor,RC004,Open,2024-02-19,
DEV000175,PROD00584,BATCH000007,PLANT03,Labeling Error,Major,RC016,Closed,2025-02-06,2025-03-17
DEV000176,PROD00107,BATCH000684,PLANT04,Equipment Malfunction,Major,RC010,Closed,2025-07-14,2025-07-29
DEV000177,PROD00487,BATCH000055,PLANT03,Process Deviation,Minor,RC002,Closed,2024-05-11,2024-06-19
DEV000178,PROD00825,BATCH001158,PLANT05,Contamination,Major,RC005,Closed,2023-09-09,2023-10-21
DEV000179,PROD00168,BATCH000700,PLANT03,Documentation Error,Minor,RC022,Closed,2025-04-18,2025-05-23
DEV000180,PROD00687,BATCH000442,PLANT04,Labeling Error,Minor,RC019,Closed,2024-02-20,2024-03-13
DEV000181,PROD00091,BATCH000021,PLANT03,Documentation Error,Minor,RC007,Closed,2024-01-23,2024-02-27
DEV000182,PROD00485,BATCH000921,PLANT01,Process Deviation,Major,RC018,Closed,2025-05-07,2025-06-04
DEV000183,PROD00746,BATCH000329,PLANT01,Contamination,Critical,RC017,Closed,2023-12-19,2024-01-02
DEV000184,PROD00367,BATCH000964,PLANT01,Documentation Error,Minor,RC025,Under Review,2024-03-30,
DEV000185,PROD00993,BATCH001451,PLANT05,Equipment Malfunction,Major,RC009,Closed,2023-03-23,2023-04-23
DEV000186,PROD00586,BATCH000268,PLANT04,Temperature Excursion,Minor,RC007,Closed,2024-05-22,2024-07-01
DEV000187,PROD00905,BATCH001082,PLANT03,Labeling Error,Major,RC003,Closed,2024-06-28,2024-07-10
DEV000188,PROD00132,BATCH001281,PLANT02,Equipment Malfunction,Minor,RC018,Closed,2025-04-15,2025-05-21
DEV000189,PROD00075,BATCH000293,PLANT01,Documentation Error,Critical,RC025,Under Review,2023-11-30,
DEV000190,PROD00517,BATCH000973,PLANT05,Labeling Error,Major,RC004,Closed,2024-09-21,2024-11-01
DEV000191,PROD00568,BATCH000797,PLANT05,Contamination,Major,RC002,Closed,2023-07-07,2023-07-15
DEV000192,PROD00733,BATCH001452,PLANT05,Documentation Error,Major,RC007,Closed,2025-07-15,2025-08-27
DEV000193,PROD00317,BATCH000670,PLANT01,Process Deviation,Minor,RC008,Open,2024-11-25,
DEV000194,PROD00434,BATCH001040,PLANT03,Equipment Malfunction,Major,RC004,Under Review,2024-04-08,
DEV000195,PROD00330,BATCH001140,PLANT03,Temperature Excursion,Minor,RC024,Closed,2024-09-26,2024-10-03
DEV000196,PROD00644,BATCH001020,PLANT01,Out-of-Specification (OOS),Major,RC001,Closed,2023-11-28,2023-12-25
DEV000197,PROD00447,BATCH000124,PLANT04,Process Deviation,Minor,RC014,Closed,2025-04-15,2025-05-16
DEV000198,PROD00392,BATCH001138,PLANT03,Equipment Malfunction,Major,RC022,Closed,2025-03-02,2025-03-21
DEV000199,PROD00717,BATCH001191,PLANT03,Equipment Malfunction,Major,RC008,Open,2024-02-22,
DEV000200,PROD00050,BATCH000559,PLANT03,Contamination,Major,RC003,Closed,2024-02-17,2024-02-29
DEV000201,PROD00412,BATCH000323,PLANT04,Process Deviation,Critical,RC006,Under Review,2024-02-15,
DEV000202,PROD00778,BATCH000874,PLANT05,Process Deviation,Minor,RC020,Closed,2023-11-04,2023-12-11
DEV000203,PROD00574,BATCH000826,PLANT03,Labeling Error,Minor,RC014,Closed,2025-08-13,2025-09-12
DEV000204,PROD00136,BATCH000047,PLANT04,Out-of-Specification (OOS),Minor,RC003,Open,2024-09-20,
DEV000205,PROD00973,BATCH001473,PLANT02,Contamination,Major,RC013,Under Review,2023-05-12,
DEV000206,PROD00771,BATCH001332,PLANT04,Out-of-Specification (OOS),Minor,RC005,Open,2025-03-19,
DEV000207,PROD00839,BATCH001435,PLANT03,Contamination,Major,RC016,Closed,2023-03-07,2023-03-10
DEV000208,PROD00847,BATCH001250,PLANT04,Temperature Excursion,Major,RC024,Closed,2023-08-06,2023-08-10
DEV000209,PROD00931,BATCH001107,PLANT05,Labeling Error,Minor,RC020,Closed,2024-11-10,2024-11-30
DEV000210,PROD00546,BATCH000064,PLANT03,Labeling Error,Minor,RC016,Closed,2024-10-04,2024-11-13
DEV000211,PROD00670,BATCH000384,PLANT02,Equipment Malfunction,Minor,RC007,Closed,2024-06-09,2024-06-12
DEV000212,PROD00373,BATCH000952,PLANT02,Out-of-Specification (OOS),Minor,RC015,Closed,2025-04-16,2025-05-22
DEV000213,PROD00186,BATCH001401,PLANT01,Contamination,Minor,RC005,Closed,2025-05-24,2025-07-04
DEV000214,PROD00893,BATCH001430,PLANT04,Labeling Error,Critical,RC014,Closed,2023-03-19,2023-04-10
DEV000215,PROD00265,BATCH000542,PLANT04,Process Deviation,Minor,RC012,Closed,2023-02-22,2023-03-03
DEV000216,PROD00570,BATCH001108,PLANT03,Documentation Error,Critical,RC003,Under Review,2024-05-01,
DEV000217,PROD00819,BATCH000354,PLANT03,Equipment Malfunction,Minor,RC013,Closed,2025-06-17,2025-06-25
DEV000218,PROD00330,BATCH001229,PLANT03,Out-of-Specification (OOS),Minor,RC005,Closed,2024-10-22,2024-12-03
DEV000219,PROD00619,BATCH000585,PLANT04,Contamination,Major,RC016,Under Review,2023-03-19,
DEV000220,PROD00061,BATCH000403,PLANT02,Temperature Excursion,Major,RC006,Closed,2023-01-20,2023-02-28
DEV000221,PROD00060,BATCH000739,PLANT05,Process Deviation,Major,RC012,Closed,2023-11-20,2023-12-08
DEV000222,PROD00547,BATCH000095,PLANT01,Temperature Excursion,Minor,RC006,Closed,2025-03-15,2025-04-04
DEV000223,PROD00068,BATCH000116,PLANT03,Equipment Malfunction,Minor,RC011,Closed,2025-05-31,2025-07-13
DEV000224,PROD00910,BATCH000988,PLANT03,Contamination,Minor,RC009,Under Review,2024-12-12,
DEV000225,PROD00328,BATCH001236,PLANT03,Out-of-Specification (OOS),Critical,RC007,Closed,2024-06-20,2024-07-16
DEV000226,PROD00796,BATCH000816,PLANT05,Temperature Excursion,Major,RC008,Closed,2023-11-13,2023-12-09
DEV000227,PROD00744,BATCH000211,PLANT04,Documentation Error,Minor,RC001,Under Review,2023-08-02,
DEV000228,PROD00390,BATCH001426,PLANT01,Contamination,Minor,RC015,Closed,2023-08-12,2023-09-23
DEV000229,PROD00674,BATCH000727,PLANT05,Out-of-Specification (OOS),Minor,RC022,Under Review,2023-06-20,
DEV000230,PROD00716,BATCH000459,PLANT04,Documentation Error,Minor,RC005,Open,2024-02-16,
DEV000231,PROD00529,BATCH001460,PLANT03,Temperature Excursion,Major,RC016,Closed,2024-03-14,2024-04-22
DEV000232,PROD00881,BATCH001016,PLANT02,Temperature Excursion,Critical,RC006,Under Review,2024-01-09,
DEV000233,PROD00684,BATCH000957,PLANT02,Documentation Error,Major,RC012,Open,2025-06-11,
DEV000234,PROD00020,BATCH001077,PLANT05,Labeling Error,Minor,RC023,Open,2023-10-19,
DEV000235,PROD00219,BATCH001358,PLANT03,Equipment Malfunction,Critical,RC010,Closed,2024-05-09,2024-06-14
DEV000236,PROD00587,BATCH000286,PLANT05,Equipment Malfunction,Minor,RC022,Closed,2023-12-28,2024-01-18
DEV000237,PROD00551,BATCH000570,PLANT01,Documentation Error,Minor,RC012,Closed,2023-07-17,2023-08-13
DEV000238,PROD00759,BATCH001006,PLANT05,Process Deviation,Minor,RC024,Closed,2024-10-31,2024-11-14
DEV000239,PROD00119,BATCH000218,PLANT02,Contamination,Major,RC006,Open,2023-05-18,
DEV000240,PROD00602,BATCH000861,PLANT01,Contamination,Major,RC013,Closed,2025-02-05,2025-03-12
DEV000241,PROD00113,BATCH000590,PLANT04,Temperature Excursion,Minor,RC022,Closed,2024-03-08,2024-04-03
DEV000242,PROD00046,BATCH001156,PLANT04,Labeling Error,Major,RC014,Closed,2025-01-21,2025-02-05
DEV000243,PROD00717,BATCH000133,PLANT03,Equipment Malfunction,Minor,RC007,Closed,2023-04-17,2023-04-21
